id,title,year_id,db_id,cve_id,score3,metrics,vendor,product,timeline,ics_title,attention,sectors,areas,hq,date_reported,date_published
323,Advantech WebAccess Client bwrunmie Command Injection Remote Code Execution Vulnerability,ZDI-19-324,ZDI-CAN-7926,CVE-2019-6552,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Advantech,WebAccess,"2019-01-24 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/24/2019,4/2/2019
324,Advantech WebAccess Client bwsound2 Stack-based Buffer Overflow Remote Code Execution Vulnerability,ZDI-19-325,ZDI-CAN-7927,CVE-2019-6550,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Advantech,WebAccess,"2019-01-24 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/24/2019,4/2/2019
325,Advantech WebAccess Node bwrunmie Command Injection Remote Code Execution Vulnerability,ZDI-19-326,ZDI-CAN-7928,CVE-2019-6552,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Advantech,WebAccess,"2019-01-24 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/24/2019,4/2/2019
326,Advantech WebAccess Node BwOpcImg Stack-based Buffer Overflow Remote Code Execution Vulnerability,ZDI-19-327,ZDI-CAN-7881,CVE-2019-6550,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Advantech,WebAccess,"2019-01-18 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/18/2019,4/2/2019
327,Advantech WebAccess Node bwthinfl Stack-based Buffer Overflow Remote Code Execution Vulnerability,ZDI-19-328,ZDI-CAN-7882,CVE-2019-6550,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Advantech,WebAccess,"2019-01-18 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/18/2019,4/2/2019
328,Advantech WebAccess Client upandpr sprintf Stack-based Buffer Overflow Remote Code Execution Vulnerability,ZDI-19-329,ZDI-CAN-7924,CVE-2019-6550,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Advantech,WebAccess,"2019-01-24 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/24/2019,4/2/2019
329,Advantech WebAccess Client upandpr scanf Stack-based Buffer Overflow Remote Code Execution Vulnerability,ZDI-19-330,ZDI-CAN-7930,CVE-2019-6550,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Advantech,WebAccess,"2019-01-25 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/25/2019,4/2/2019
330,Advantech WebAccess Node UninstallWA Improper Access Control Denial-of-Service Vulnerability,ZDI-19-331,ZDI-CAN-7908,CVE-2019-6554,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H),Advantech,WebAccess,"2019-01-22 - Vulnerability reported to vendor, 2019-04-02 - Coordinated public release of advisory",ICS Advisory (ICSA-19-092-01), Exploitable remotely/low skill level to exploit," Critical Manufacturing, Energy, Water and Wastewater Systems"," East Asia, United States, and Europe", Taiwan,1/22/2019,4/2/2019
331,Microsoft Windows VBScript Array Uninitialized Pointer Remote Code Execution Vulnerability,ZDI-19-332,ZDI-CAN-7817,CVE-2019-0667,7.5, (AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2019-01-11 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory",,,,,,1/11/2019,4/4/2019
332,Microsoft Windows gdiplus EMF Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-333,ZDI-CAN-8205,CVE-2019-0774,3.3, (AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Microsoft,Windows,"2019-02-25 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory",,,,,,2/25/2019,4/4/2019
333,(0Day) Hewlett Packard Enterprise Intelligent Management Center viewBatchTaskResultDetailFact Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-334,ZDI-CAN-6908,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-11-30 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,11/30/2018,4/4/2019
334,(0Day) Hewlett Packard Enterprise Intelligent Management Center perfSelectTask Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-335,ZDI-CAN-6889,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-11-30 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,11/30/2018,4/4/2019
335,(0Day) Hewlett Packard Enterprise Intelligent Management Center iccSelectDymicParam Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-336,ZDI-CAN-6886,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-11-30 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,11/30/2018,4/4/2019
336,(0Day) Hewlett Packard Enterprise Intelligent Management Center wmiConfigContent Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-337,ZDI-CAN-6880,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-11-30 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,11/30/2018,4/4/2019
337,(0Day) Hewlett Packard Enterprise Intelligent Management Center faultFlashEventSelectFact Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-338,ZDI-CAN-6876,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-11-30 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,11/30/2018,4/4/2019
338,(0Day) Hewlett Packard Enterprise Intelligent Management Center faultStatChooseFaultType Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-339,ZDI-CAN-6875,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-11-30 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,11/30/2018,4/4/2019
339,(0Day) Hewlett Packard Enterprise Intelligent Management Center selViewNavContent Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-340,ZDI-CAN-6756,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-11-30 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,11/30/2018,4/4/2019
340,(0Day) Hewlett Packard Enterprise Intelligent Management Center navigationTo Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-341,ZDI-CAN-6754,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-12-04 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,12/4/2018,4/4/2019
341,(0Day) Hewlett Packard Enterprise Intelligent Management Center Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-342,ZDI-CAN-7016,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-12-04 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,12/4/2018,4/4/2019
342,(0Day) Hewlett Packard Enterprise Intelligent Management Center Expression Language Injection Remote Code Execution Vulnerability,ZDI-19-343,ZDI-CAN-7017,,8.8, (AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Hewlett Packard Enterprise,Intelligent Management Center,"2018-12-04 - Vulnerability reported to vendor, 2019-04-04 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,12/4/2018,4/4/2019
343,OMRON CX-One CX-Programmer CXP File Parsing Use-After-Free Remote Code Execution Vulnerability,ZDI-19-344,ZDI-CAN-6609,CVE-2019-6556,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Omron,CX-One,"2018-07-05 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",ICS Advisory (ICSA-19-094-01), Low skill level to exploit, Critical Manufacturing, Worldwide, Japan,7/5/2018,4/15/2019
344,Adobe Bridge CC PCX File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability,ZDI-19-345,ZDI-CAN-7596,CVE-2019-7130,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Adobe,Bridge,"2018-11-26 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,11/26/2018,4/15/2019
345,Adobe Bridge CC AdobePSL TIF File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-346,ZDI-CAN-7763,CVE-2019-7132,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Adobe,Bridge,"2019-01-02 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,1/2/2019,4/15/2019
346,Adobe Bridge CC AdobePSL TIF File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-347,ZDI-CAN-7767,CVE-2019-7133,3.3, (AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Adobe,Bridge,"2019-01-03 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,1/3/2019,4/15/2019
347,Adobe Acrobat Pro DC JOBOPTIONS File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-348,ZDI-CAN-7745,CVE-2019-7110,3.3, (AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Adobe,Acrobat Pro DC,"2018-12-29 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,12/29/2018,4/15/2019
348,Adobe Acrobat Pro DC JOBOPTIONS File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-349,ZDI-CAN-7746,CVE-2019-7109,3.3, (AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Adobe,Acrobat Pro DC,"2018-12-29 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,12/29/2018,4/15/2019
349,Adobe Acrobat Pro DC JOBOPTIONS CalCMYKProfile Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-350,ZDI-CAN-7747,CVE-2019-7111,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Adobe,Acrobat Pro DC,"2018-12-29 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,12/29/2018,4/15/2019
350,Adobe Bridge CC PNG File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-351,ZDI-CAN-7585,CVE-2019-7134,5.5, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N),Adobe,Bridge,"2018-11-21 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,11/21/2018,4/15/2019
351,Adobe Acrobat Pro DC PostScript Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-352,ZDI-CAN-7965,CVE-2019-7127,3.3, (AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Adobe,Acrobat Pro DC,"2019-01-30 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,1/30/2019,4/15/2019
352,Adobe Bridge CC TIF File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-353,ZDI-CAN-7743,CVE-2019-7135,5.5, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N),Adobe,Bridge,"2018-12-27 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,12/27/2018,4/15/2019
353,Adobe Bridge CC PDF File Parsing Use-After-Free Information Disclosure Vulnerability,ZDI-19-354,ZDI-CAN-7765,CVE-2019-7136,5.5, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N),Adobe,Bridge,"2019-01-03 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,1/3/2019,4/15/2019
354,Adobe Bridge CC PDF File Parsing Unexpected Sign Extension Information Disclosure Vulnerability,ZDI-19-355,ZDI-CAN-7766,CVE-2019-7137,5.5, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N),Adobe,Bridge,"2019-01-03 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,1/3/2019,4/15/2019
355,Adobe Bridge CC MOV File Parsing Our-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-356,ZDI-CAN-7886,CVE-2019-7138,5.5, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N),Adobe,Bridge,"2019-01-19 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,1/19/2019,4/15/2019
356,Adobe Flash Player Filter Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-357,ZDI-CAN-8280,CVE-2019-7108,3.1, (AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N),Adobe,Flash,"2019-03-03 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,3/3/2019,4/15/2019
357,Microsoft Office Protocol Handler Directory Traversal File Creation Vulnerability,ZDI-19-358,ZDI-CAN-7707,CVE-2019-0801,4.2, (AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:N),Microsoft,Office,"2018-12-19 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,12/19/2018,4/15/2019
358,Microsoft Internet Explorer Property Put Type Confusion Remote Code Execution Vulnerability,ZDI-19-359,ZDI-CAN-7757,CVE-2019-0752,8.8, (AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Internet Explorer,"2018-12-31 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,12/31/2018,4/15/2019
359,Microsoft Windows AppX Deployment Service Hard Link Privilege Escalation Vulnerability,ZDI-19-360,ZDI-CAN-7753,CVE-2019-0841,7.3, (AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-12-29 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,12/29/2018,4/15/2019
360,Microsoft Chakra Object Reoptimization Type Confusion Remote Code Execution Vulnerability,ZDI-19-361,ZDI-CAN-8155,CVE-2019-0810,8.8, (AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Chakra,"2019-02-15 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,2/15/2019,4/15/2019
361,Microsoft Windows EMF File Uninitialized Pointer Remote Code Execution Vulnerability,ZDI-19-362,ZDI-CAN-8329,CVE-2019-0853,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2019-03-11 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,3/11/2019,4/15/2019
362,Microsoft Windows EMF File Uninitialized Pointer Remote Code Execution Vulnerability,ZDI-19-363,ZDI-CAN-8330,CVE-2019-0853,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2019-03-11 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory",,,,,,3/11/2019,4/15/2019
363,(Pwn2Own) Mozilla Firefox Array.slice Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-364,ZDI-CAN-8368,CVE-2019-9810,8.8, (AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Mozilla,Firefox,"2019-03-21 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory, 2019-06-14 - Advisory Updated, ",,,,,,3/21/2019,4/15/2019
364,(Pwn2Own) Mozilla Firefox IonMonkey Optimizer Type Confusion Remote Code Execution Vulnerability,ZDI-19-365,ZDI-CAN-8373,CVE-2019-9813,8.8, (AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Mozilla,Firefox,"2019-03-21 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory, 2019-06-14 - Advisory Updated, ",,,,,,3/21/2019,4/15/2019
365,(Pwn2Own) Xiaomi Mi6 Browser WebAssembly.Instance Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-366,ZDI-CAN-7466,CVE-2019-6743,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Xiaomi,Browser,"2018-11-15 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory, 2019-06-14 - Advisory Updated, ",,,,,,11/15/2018,4/15/2019
366,(Pwn2Own) Xiaomi Mi6 Browser CalculateInstanceSizeHelper Integer Overflow Remote Code Execution Vulnerability,ZDI-19-367,ZDI-CAN-7482,CVE-2018-6065,7.5, (AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H),Xiaomi,Browser,"2018-11-15 - Vulnerability reported to vendor, 2019-04-15 - Coordinated public release of advisory, 2019-06-14 - Advisory Updated, ",,,,,,11/15/2018,4/15/2019
367,(Pwn2Own) Xiaomi Mi6 V8 CollectValuesOrEntriesImpl Type Confusion Remote Code Execution Vulnerability,ZDI-19-368,ZDI-CAN-7478,CVE-2018-6064,8.8, (AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Xiaomi,Browser,"2018-11-15 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory, 2019-06-14 - Advisory Updated, ",,,,,,11/15/2018,4/17/2019
368,VMware Workstation Shader Bytecode Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-369,ZDI-CAN-7195,CVE-2019-5520,2.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:L/I:N/A:N),VMware,Workstation,"2018-08-30 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,8/30/2018,4/17/2019
369,Foxit Studio Photo TIF File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-370,ZDI-CAN-7634,CVE-2019-6746,3.3, (AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Foxit,Studio Photo,"2018-12-05 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,12/5/2018,4/17/2019
370,Foxit Studio Photo EZI File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-371,ZDI-CAN-7636,CVE-2019-6747,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Foxit,Studio Photo,"2018-12-05 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,12/5/2018,4/17/2019
371,Foxit Studio Photo EZI File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-372,ZDI-CAN-7637,CVE-2019-6748,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Foxit,Studio Photo,"2018-12-05 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,12/5/2018,4/17/2019
372,Foxit Studio Photo EZIX File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-373,ZDI-CAN-7638,CVE-2019-6749,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Foxit,Studio Photo,"2018-12-05 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,12/5/2018,4/17/2019
373,Foxit Studio Photo EZI File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-374,ZDI-CAN-7639,CVE-2019-6750,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Foxit,Studio Photo,"2018-12-05 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,12/5/2018,4/17/2019
374,Foxit Studio Photo JPG File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-375,ZDI-CAN-7632,CVE-2019-6751,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Foxit,Studio Photo,"2018-12-06 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,12/6/2018,4/17/2019
375,Oracle VirtualBox crStateCopyTexImage2D Out-Of-Bounds Write Privilege Escalation Vulnerability,ZDI-19-376,ZDI-CAN-7364,CVE-2019-2656,7.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-10-14 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,10/14/2018,4/17/2019
376,Oracle VirtualBox CRClientPointer Use-After-Free Privilege Escalation Vulnerability,ZDI-19-377,ZDI-CAN-7363,CVE-2019-2657,7.8, (AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Oracle,VirtualBox,"2018-10-14 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,10/14/2018,4/17/2019
377,Oracle VirtualBox crUnpackExtendShaderSource Integer Overflow Privilege Escalation Vulnerability,ZDI-19-378,ZDI-CAN-7892,CVE-2019-2690,7.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2019-01-21 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/21/2019,4/17/2019
378,Oracle VirtualBox crServerDispatchGetVertexAttribivARB Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-379,ZDI-CAN-7993,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-28 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/28/2019,4/17/2019
379,Oracle VirtualBox crServerDispatchGetVertexAttribfvARB Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-380,ZDI-CAN-7995,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-28 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/28/2019,4/17/2019
380,Oracle VirtualBox crServerDispatchGetProgramParameterdvNV Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-381,ZDI-CAN-7988,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-27 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/27/2019,4/17/2019
381,Oracle VirtualBox crServerDispatchGetTexParameterfv Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-382,ZDI-CAN-7991,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-28 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/28/2019,4/17/2019
382,Oracle VirtualBox crServerDispatchGetVertexAttribfvNV Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-383,ZDI-CAN-7996,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-28 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/28/2019,4/17/2019
383,Oracle VirtualBox crServerDispatchGetVertexAttribivNV Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-384,ZDI-CAN-7994,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-28 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/28/2019,4/17/2019
384,Oracle VirtualBox crServerDispatchGetMaterialiv Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-385,ZDI-CAN-7984,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-27 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/27/2019,4/17/2019
385,Oracle VirtualBox crServerDispatchGetLightiv  Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-386,ZDI-CAN-7982,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-27 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/27/2019,4/17/2019
386,Oracle VirtualBox crServerDispatchGetProgramParameterfvNV Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-387,ZDI-CAN-7987,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-27 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/27/2019,4/17/2019
387,Oracle VirtualBox crServerDispatchGetTexEnvfv Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-388,ZDI-CAN-8276,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-03-04 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,3/4/2019,4/17/2019
388,Oracle VirtualBox crServerDispatchGetCombinerStageParameterfvNV Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-389,ZDI-CAN-7979,CVE-2019-2574,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2019-01-27 - Vulnerability reported to vendor, 2019-04-17 - Coordinated public release of advisory",,,,,,1/27/2019,4/17/2019
